env,nq,mq,dropout,seed,type,status,job_id,final_score,peak_score,purpose,maxsteps
pen-binary-v0,2,1,0,0,standard,done,49894145,-9944.0,-6600.0,no dropout grid,2000000
pen-binary-v0,2,1,0,1,standard,TODO,,,,,no dropout grid,2000000
pen-binary-v0,2,1,0,2,standard,TODO,,,,,no dropout grid,2000000
pen-binary-v0,2,1,0,3,standard,TODO,,,,,no dropout grid,2000000
pen-binary-v0,2,1,0,4,standard,TODO,,,,,no dropout grid,2000000
pen-binary-v0,2,2,0,0,standard,done,49894145,-4454.5,-3045.0,no dropout grid,2000000
pen-binary-v0,2,2,0,1,standard,done,49894146,-4968.0,-2930.0,no dropout grid,2000000
pen-binary-v0,2,2,0,2,standard,done,49894146,-5003.0,-3200.0,no dropout grid,2000000
pen-binary-v0,2,2,0,3,standard,done,49894147,-4764.0,-3375.0,no dropout grid,2000000
pen-binary-v0,2,2,0,4,standard,done,49894147,-4159.0,-2850.0,no dropout grid,2000000
pen-binary-v0,4,2,0,0,standard,done,49894148,-2921.5,-2125.0,no dropout grid,2000000
pen-binary-v0,4,2,0,1,standard,TODO,,,,,no dropout grid,2000000
pen-binary-v0,4,2,0,2,standard,TODO,,,,,no dropout grid,2000000
pen-binary-v0,4,2,0,3,standard,TODO,,,,,no dropout grid,2000000
pen-binary-v0,4,2,0,4,standard,TODO,,,,,no dropout grid,2000000
pen-binary-v0,6,2,0,0,standard,done,49894149,-2188.0,-1770.0,no dropout grid,2000000
pen-binary-v0,6,2,0,1,standard,TODO,,,,,no dropout grid,2000000
pen-binary-v0,6,2,0,2,standard,TODO,,,,,no dropout grid,2000000
pen-binary-v0,6,2,0,3,standard,TODO,,,,,no dropout grid,2000000
pen-binary-v0,6,2,0,4,standard,TODO,,,,,no dropout grid,2000000
pen-binary-v0,10,2,0,0,standard,done,49894150,-2093.0,-1450.0,no dropout grid,2000000
pen-binary-v0,10,2,0,1,standard,done,49894161,-2137.5,-1515.0,no dropout grid,2000000
pen-binary-v0,10,2,0,2,standard,done,49894161,-2036.0,-1475.0,no dropout grid,2000000
pen-binary-v0,10,2,0,3,standard,done,49894162,-2081.5,-1560.0,no dropout grid,2000000
pen-binary-v0,10,2,0,4,standard,done,49894162,-2041.5,-1495.0,no dropout grid,2000000
pen-binary-v0,2,1,0.01,0,standard,done,50038645,-3551.5,-2450.0,dropout grid,2000000
pen-binary-v0,2,1,0.01,1,standard,TODO,,,,,dropout grid,2000000
pen-binary-v0,2,1,0.01,2,standard,TODO,,,,,dropout grid,2000000
pen-binary-v0,2,1,0.01,3,standard,TODO,,,,,dropout grid,2000000
pen-binary-v0,2,1,0.01,4,standard,TODO,,,,,dropout grid,2000000
